21:38:20: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -45.0
21:38:20: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 2.727272727272727, 0.09090909090909091) m/s
21:38:20: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -45.0
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
21:38:21: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.4, 2.4, 0.08) m/s
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -135.0
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
21:38:22: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -63.43494882292201
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.142857142857143, 0.0, 0.07142857142857142) m/s
21:38:23: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -116.56505117707799
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (1.3793103448275863, 0.0, 0.06896551724137931) m/s
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -45.00000000000005
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.6666666666666666, 0.0, 0.06666666666666667) m/s
21:38:24: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -63.43494882292201
21:38:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.06451612903225806) m/s
21:38:25: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
