20:14:57: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
20:14:57: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 4.0) m/s
20:14:57: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE ALTITUDE: 1
20:14:57: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 1.0) m/s
20:14:57: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE ALTITUDE: -1
20:14:58: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.6666666666666666) m/s
20:14:58: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.5) m/s
20:14:59: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.4) m/s
20:14:59: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.3333333333333333) m/s
20:15:00: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.2857142857142857) m/s
20:15:00: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 2.5, 0.25) m/s
20:15:00: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 63.43494882292201
20:15:01: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 4.444444444444445, 0.2222222222222222) m/s
20:15:01: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 90.0
20:15:01: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 6.0, 0.2) m/s
20:15:01: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 116.56505117707799
20:15:02: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (1.8181818181818181, 5.454545454545454, 0.18181818181818182) m/s
20:15:02: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 45.0
20:15:02: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (3.3333333333333335, 5.0, 0.16666666666666666) m/s
20:15:02: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 63.43494882292201
20:15:03: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (4.615384615384615, 4.615384615384615, 0.15384615384615385) m/s
20:15:03: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 90.0
20:15:03: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (4.285714285714286, 2.857142857142857, 0.14285714285714285) m/s
20:15:03: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 26.565051177077994
20:15:04: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (4.0, 1.3333333333333333, 0.13333333333333333) m/s
20:15:04: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 45.0
20:15:04: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (3.75, 0.0, 0.125) m/s
20:15:04: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 90.0
20:15:05: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.3529411764705883, 0.0, 0.11764705882352941) m/s
20:15:05: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 45.0
20:15:05: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (1.1111111111111112, 0.0, 0.1111111111111111) m/s
20:15:05: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 90.0
20:15:06: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 0.0, 0.10526315789473684) m/s
20:15:06: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: 135.0
20:15:06: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 1.0, 0.1) m/s
20:15:06: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -26.565051177077994
20:15:07: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 1.9047619047619047, 0.09523809523809523) m/s
20:15:07: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -45.0
20:15:07: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.0, 2.727272727272727, 0.09090909090909091) m/s
20:15:07: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
20:15:08: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (0.8695652173913043, 2.608695652173913, 0.08695652173913043) m/s
20:15:08: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -45.0
20:15:08: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (1.6666666666666667, 2.5, 0.08333333333333333) m/s
20:15:08: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
20:15:09: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.4, 2.4, 0.08) m/s
20:15:09: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -135.0
20:15:09: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693) m/s
20:15:09: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -63.43494882292201
20:15:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 132] Average velocity so far: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407) m/s
20:15:10: [INFO] [/Users/ericw/University/WARG/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 88] CHANGE YAW: -90.0
